"txn_year","pr","u_count"
2024-01-01 00:00:00.000 +0300,567,1
2023-01-01 00:00:00.000 +0300,217,366
2021-01-01 00:00:00.000 +0300,136,146
2023-01-01 00:00:00.000 +0300,487,78
2022-01-01 00:00:00.000 +0300,93,1318
2025-01-01 00:00:00.000 +0300,267,142
2025-01-01 00:00:00.000 +0300,212,54
2025-01-01 00:00:00.000 +0300,522,25
2021-01-01 00:00:00.000 +0300,321,170
2024-01-01 00:00:00.000 +0300,486,41
2020-01-01 00:00:00.000 +0300,530,38
2021-01-01 00:00:00.000 +0300,62,1317
2024-01-01 00:00:00.000 +0300,573,12
2021-01-01 00:00:00.000 +0300,150,331
2023-01-01 00:00:00.000 +0300,600,48
2021-01-01 00:00:00.000 +0300,182,9
2022-01-01 00:00:00.000 +0300,203,440
2024-01-01 00:00:00.000 +0300,683,1
2021-01-01 00:00:00.000 +0300,313,116
2025-01-01 00:00:00.000 +0300,561,7001
2023-01-01 00:00:00.000 +0300,175,58
2022-01-01 00:00:00.000 +0300,254,8
2024-01-01 00:00:00.000 +0300,249,5309
2021-01-01 00:00:00.000 +0300,618,546
2020-01-01 00:00:00.000 +0300,29,6
2022-01-01 00:00:00.000 +0300,161,131
2025-01-01 00:00:00.000 +0300,288,91
2024-01-01 00:00:00.000 +0300,143,603
2021-01-01 00:00:00.000 +0300,552,119
2024-01-01 00:00:00.000 +0300,504,3124
2023-01-01 00:00:00.000 +0300,108,197
2023-01-01 00:00:00.000 +0300,190,2511
2023-01-01 00:00:00.000 +0300,223,2706
2021-01-01 00:00:00.000 +0300,484,55
2022-01-01 00:00:00.000 +0300,490,302
2022-01-01 00:00:00.000 +0300,174,57
2020-01-01 00:00:00.000 +0300,494,22
2023-01-01 00:00:00.000 +0300,276,1
2025-01-01 00:00:00.000 +0300,248,885
2024-01-01 00:00:00.000 +0300,103,4885
2022-01-01 00:00:00.000 +0300,595,6462
2023-01-01 00:00:00.000 +0300,224,15595
2022-01-01 00:00:00.000 +0300,561,6995
2025-01-01 00:00:00.000 +0300,88,18
2021-01-01 00:00:00.000 +0300,196,974
2024-01-01 00:00:00.000 +0300,273,103
2022-01-01 00:00:00.000 +0300,128,40
2025-01-01 00:00:00.000 +0300,11,911
2025-01-01 00:00:00.000 +0300,256,142
2024-01-01 00:00:00.000 +0300,182,1
2025-01-01 00:00:00.000 +0300,626,2
2025-01-01 00:00:00.000 +0300,191,826
2022-01-01 00:00:00.000 +0300,619,287
2020-01-01 00:00:00.000 +0300,551,5
